日期,标题,真实URL网址
2016-02-25 00:00:00,【付鹏的财经世界】【深度】英镑脱欧：脱or不脱并不重要，重要的要脱而不脱,https://mp.weixin.qq.com/s/e6y0e21B7SGBZnFt43mrvQ
2016-02-26 00:00:00,【付鹏的财经世界】【投资随笔】美联储货币政策思维导图：适度与过度，左还是右,https://mp.weixin.qq.com/s/kKMn-NyAERh0-HKYFjJ7zw
2016-02-27 00:00:00,【付鹏的财经世界】【周末闲谈】扯一扯一线城市楼市的理性与疯狂背后的故事,https://mp.weixin.qq.com/s/piyqCCsysdkyH0Bl3xjVGQ
2016-02-28 00:00:00,【付鹏的财经世界】【干货】系统总结金银比价套利：定性定量的综合角度来看看金银比的三段历史（连载一）,https://mp.weixin.qq.com/s/m7ZnheCJhbyI1HIByd8rIA
2016-02-29 00:00:00,【付鹏的财经世界】【黄金投资的逻辑】黄金价格的主要驱动力（连载二）,https://mp.weixin.qq.com/s/SPkqIpvSeTtAaT480q39RA
2016-03-01 00:00:00,【付鹏的财经世界】【勘误】黄金的投资逻辑（系统总结金银比价套利连载）,https://mp.weixin.qq.com/s/hqq2gNg-ex9R9NJDSMz8BA
2016-03-01 00:00:00,【付鹏的财经世界】【重磅连载】中美利差环境与大宗虚假繁荣（上篇，华泰演讲无删节首发）,https://mp.weixin.qq.com/s/v3PvCyR-EbmmJy_Dj_Vhbw
2016-03-02 00:00:00,【付鹏的财经世界】推荐这些最优质的财经原创公众账号你关注了么？,https://mp.weixin.qq.com/s/P1vf_TU621aqFcKyuoGg6Q
2016-03-02 00:00:00,【付鹏的财经世界】【全球视野】欧洲陷入“国民通缩心态”，英国现强劲复苏迹象（推荐干货）,https://mp.weixin.qq.com/s/S_35P7rXyALwVYznNgK8cQ
2016-03-03 00:00:00,【付鹏的财经世界】【深度】容易玩过头的白银投机（金银的投资逻辑连载三）,https://mp.weixin.qq.com/s/Ap5sjhUzej5vq4akmvHZHw
2016-03-04 00:00:00,【付鹏的财经世界】【重磅连载】中美利差环境与大宗虚假繁荣：敏感的中美汇率（中篇，华泰演讲无删节首发）,https://mp.weixin.qq.com/s/UY5YEXuLjTkxACFKNUkB3Q
2016-03-05 00:00:00,【付鹏的财经世界】【重磅连载】中美利差环境与大宗虚假繁荣：一些敏感问题的现场问答（下篇，华泰演讲无删节首发）,https://mp.weixin.qq.com/s/yMAJoZm5XM7EZGARR4c1qA
2016-03-06 00:00:00,【付鹏的财经世界】征稿启事及意见征求,https://mp.weixin.qq.com/s/uPPmKUTd0TYAW3EqznxJFw
2016-03-06 00:00:00,【付鹏的财经世界】【全球市场】英国脱欧可能性加剧，欧央行将推更积极宽松,https://mp.weixin.qq.com/s/h9IkGdKdOhsUba-jsRLFOA
2016-03-07 00:00:00,【付鹏的财经世界】【话题探讨】你真的理解原油库存数据吗？,https://mp.weixin.qq.com/s/76Ltqw7t8X9rfFGew4Pl6g
2016-03-07 00:00:00,【付鹏的财经世界】【看市场】大宗商品暴力反弹有逻辑，基本面问题重重难反转,https://mp.weixin.qq.com/s/WviZDb1vsf1gRAGK4UUvIA
2016-03-08 00:00:00,【付鹏的财经世界】【日本市场】负利率对经济的刺激暂时无效,https://mp.weixin.qq.com/s/aza3J1Xwwy24Cvo5BnPNnA
2016-03-08 00:00:00,【付鹏的财经世界】【欧洲市场】本周ECB降息毫无疑问，哪些细节值得关注？,http://mp.weixin.qq.com/s/OGPZKmr-2S2uKsxNWAOKaQ
2016-03-08 00:00:00,【付鹏的财经世界】【中国市场】加杠杆进行时，大宗暴力反弹，关注升贴水,http://mp.weixin.qq.com/s/3nfqH0O-gr4lK7jh83grYw
2016-03-08 00:00:00,【付鹏的财经世界】【美国市场】油价企稳能源股上涨，工业指数仍偏弱,http://mp.weixin.qq.com/s/y52AZjVbRmmKv09nJYZVlQ
2016-03-09 00:00:00,【付鹏的财经世界】【重磅干货】由格罗斯的一句话引发的完整美联储路径的回顾和展望（连载一）,http://mp.weixin.qq.com/s/ibXPgeOGGY8JBp3gLHOZ1Q
2016-03-10 00:00:00,【付鹏的财经世界】新西兰通胀预期将进一步下滑，澳元纽元比价完成头肩底架构,http://mp.weixin.qq.com/s/hdy8V1SoRdqPsU4V-yZGVg
2016-03-10 00:00:00,【付鹏的财经世界】【重磅连载下篇】由格罗斯的一句话引发的完整美联储路径的回顾和展望,http://mp.weixin.qq.com/s/hndyZsuGiLta7a1H8xHLeQ
2016-03-11 00:00:00,【付鹏的财经世界】评欧央行超预期宽松：ECB更换刺激手段，购买资产然后把利差问题交给FED,http://mp.weixin.qq.com/s/dFvwX01a88uvuV_C6ubhVA
2016-03-11 00:00:00,【付鹏的财经世界】评2月信贷数据：预期的归预期，现实的归现实，关键看3月数据,http://mp.weixin.qq.com/s/BmNRFIKkRc8zCnjeYRL4Mg
2016-03-12 00:00:00,【付鹏的财经世界】【干货】从数据和模型的角度看深圳房价泡沫处于哪个阶段,http://mp.weixin.qq.com/s/1VZVljjwMFlefZ7C9XEw9Q
2016-03-13 00:00:00,【付鹏的财经世界】本周汇率CFTC持仓更新,http://mp.weixin.qq.com/s/P202Nba8ZBAqOZ8wLXwylg
2016-03-14 00:00:00,【付鹏的财经世界】【重磅】分析铜，先看懂铜流通的五个“池子”（上篇）,http://mp.weixin.qq.com/s/8aqYV2VLOUoWUXeC8r8QgA
2016-03-14 00:00:00,【付鹏的财经世界】【重磅】分析铜，先看懂铜流通的五个“池子”（下篇）,http://mp.weixin.qq.com/s/2HyNbZZnlyAiYgBFnVsFMw
2016-03-15 00:00:00,【付鹏的财经世界】【FOMC前瞻】经济环境不支持3月加息，关注下次符合加息的节点,http://mp.weixin.qq.com/s/I21UDvB1OADPMPJvqFckvw
2016-03-16 00:00:00,【付鹏的财经世界】黄金、美元指数相关的几张图表,http://mp.weixin.qq.com/s/qZwGl7t4HsEk6m8f_dDVbw
2016-03-17 00:00:00,【付鹏的财经世界】耶伦：油价50美元下不会影响FED政策，回不到从前水平,http://mp.weixin.qq.com/s/UmOB91BfGgtqLsjQvsn_Hw
2016-03-18 00:00:00,【付鹏的财经世界】G20还是G2？看懂811汇改以来全球市场波动背后的中美博弈,http://mp.weixin.qq.com/s/8xZBgjeA5B588KHKRsKcHg
2016-03-19 00:00:00,【付鹏的财经世界】【勘误】关于3月18日文章插图的勘误,https://mp.weixin.qq.com/s/S7-U9AANw6S2hgmVtxEJdg
2016-03-19 00:00:00,【付鹏的财经世界】一张图对比，811汇改以来的人民币、A股及大宗商品指数,https://mp.weixin.qq.com/s/5JZPS9xtWX7QXZDzENQHCA
2016-03-20 00:00:00,【付鹏的财经世界】本周CFTC持仓更新,http://mp.weixin.qq.com/s/PGYqHOqvznesGqT0CJdLyw
2016-03-21 00:00:00,【付鹏的财经世界】A股和人民币的圆舞曲：811汇改以来全球市场波动背后的中美博弈后续,https://mp.weixin.qq.com/s/OofRlZwWlY199zloZRzz0g
2016-03-22 00:00:00,【付鹏的财经世界】悲观情绪修复，原油远期曲线趋平缓,https://mp.weixin.qq.com/s/uWNCLmmfJzoTHrfjxIegBQ
2016-03-23 00:00:00,【付鹏的财经世界】【重磅】从contango曲线变化来看原油价格的近期波动和后期展望,https://mp.weixin.qq.com/s/Ubu-SqKg9PAmfAsx1ds7zg
2016-03-24 00:00:00,【付鹏的财经世界】【重磅】万钊：人民币汇率是全局棋眼－2016全球大类资产配置高峰论坛上的讲话,http://mp.weixin.qq.com/s/9Op1ROLYMfZhqGoj55zQcA
2016-03-24 00:00:00,【付鹏的财经世界】【重磅】周金涛谈本轮反弹的一波三折－2016全球大类资产配置高峰论坛上的讲话,http://mp.weixin.qq.com/s/xxcP1I6fNimrBtBQeISjOQ
2016-03-24 00:00:00,【付鹏的财经世界】【重磅】付鹏谈大宗商品研究－2016全球大类资产配置高峰论坛上的讲话,http://mp.weixin.qq.com/s/f-aWQ6q-80PLkn_X088L4g
2016-03-25 00:00:00,【付鹏的财经世界】从contango曲线变化来看原油价格一文的补充,https://mp.weixin.qq.com/s/uc3on-aU-IOoRtwZSPOlFw
2016-03-26 00:00:00,【付鹏的财经世界】关于back-contango变化下供需库存情绪basis之间的变化,http://mp.weixin.qq.com/s/uUlC94HlkdZKbRkuwpIMtQ
2016-03-27 00:00:00,【付鹏的财经世界】【重磅】正向自循环引发的远期曲线和基差变化及背后的参与者行为（上篇）,http://mp.weixin.qq.com/s/sqIFqJWnkG0quWbXtMQVnA
2016-03-28 00:00:00,【付鹏的财经世界】【商品基金内训资料】付鹏：负向自循环引发的远期曲线和基差变化背后（下篇）,http://mp.weixin.qq.com/s/vCmV9ICt4ozPFIsi3d-GQw
2016-03-29 00:00:00,【付鹏的财经世界】【实例｜商品基金内训资料】远期曲线和基差变化及背后的参与者行为-案例之螺纹钢（上）,https://mp.weixin.qq.com/s/wOPvb6xFEvaEpAhYXJkmbw
2016-03-29 00:00:00,【付鹏的财经世界】人民币正悄悄发生变化美元合理位置在哪？,http://mp.weixin.qq.com/s/g3UvrT7m1nM-StfExMArPw
2016-03-30 00:00:00,【付鹏的财经世界】全世界牛B的股市在哪里？,http://mp.weixin.qq.com/s/do1L-NckARaCIatC2RAJHQ
2016-03-30 00:00:00,【付鹏的财经世界】中国和油价-美联储的肯定：风险性资产和避险性资产如何选择,http://mp.weixin.qq.com/s/_maYKbNvojygbqkDlIUHfw
2016-03-30 00:00:00,【付鹏的财经世界】风险性资产和避险性资产如何选择,https://mp.weixin.qq.com/s/Pu0S_HqtZ1ZlQHCXnAOjog
2016-03-31 00:00:00,【付鹏的财经世界】畸形信贷市场下的铜融资－中国人民“铜银行”,http://mp.weixin.qq.com/s/Z3kY7ULxdafGdUZHa4H3iw
2016-04-01 00:00:00,【付鹏的财经世界】【重磅】中国人民银行“铜”业存款：继续讲述铜的故事,http://mp.weixin.qq.com/s/XJcY8Z00soJdByHSAQgOeg
2016-04-02 00:00:00,【付鹏的财经世界】制造业PMI回暖？恐怕只是政府投资拉动下的基建吧。再来看下螺纹钢,http://mp.weixin.qq.com/s/neF7rE6n7haV2ITgdzWAdg
2016-04-03 00:00:00,【付鹏的财经世界】香港经济见闻行-菲佣的政治经济学,http://mp.weixin.qq.com/s/rAfpUVjK4Ne7TQZGpz1zCw
2016-04-04 00:00:00,【付鹏的财经世界】美元加息周期的威力才刚刚开始体现，看下这些国家的天是怎么塌下来的,http://mp.weixin.qq.com/s/3Y95ndGWdSbBGisGnysw2w
2016-04-05 00:00:00,【付鹏的财经世界】江勋：美元体系的解体、自救与商品反弹（连载一）,http://mp.weixin.qq.com/s/k5c8pGCY5nXmv-hr_blE8w
2016-04-06 00:00:00,【付鹏的财经世界】江勋：美元体系的解体、自救与商品反弹－中国库存周期问题和大宗商品现象（连载二）,https://mp.weixin.qq.com/s/g6-Mhl0xKDrpcHXizay5Xw
2016-04-07 00:00:00,【付鹏的财经世界】江勋：美元体系的解体、自救与商品反弹－全球风险演化（连载三）,https://mp.weixin.qq.com/s/JYr_Gf86r2usHd69f1dCEg
2016-04-08 00:00:00,【付鹏的财经世界】江勋：美元体系的解体、自救与商品反弹－货币体系失灵和周期紊乱（连载四）,http://mp.weixin.qq.com/s/pdjEXPoAzqscsnBz6ozpCQ
2016-04-09 00:00:00,【付鹏的财经世界】江勋：美元体系的解体、自救与商品反弹－非对称滞胀与大类资产（连载五）,http://mp.weixin.qq.com/s/BkOtd_yjgR-gNXITa1K74A
2016-04-10 00:00:00,【付鹏的财经世界】东方之珠的黄昏：香港，渐行渐远,http://mp.weixin.qq.com/s/GQhqkqIbRaQ3Mh81q8MLcA
2016-04-11 00:00:00,【付鹏的财经世界】电影《伦敦陷落》中隐藏的欧洲预言,http://mp.weixin.qq.com/s/hR3-NWdyikWPRU4KbruJ6g
2016-04-13 00:00:00,【付鹏的财经世界】黑色里的“时间差”节奏,http://mp.weixin.qq.com/s/Jrf_ItRHNjhaFOm4pq-frA
